id_resultat,id_resultat_source,source,id_athlete_base_resultats,id_personne,athlete_nom,athlete_prenom,id_equipe,equipe_en,id_pays,pays_en_base_resultats,classement_epreuve,performance_finale_texte,performance_finale,id_evenement,evenement,evenement_en,categorie_age,id_edition,id_competition_sport,competition_en,id_type_competition,type_competition,edition_saison,date_debut_edition,date_fin_edition,id_ville_edition,edition_ville_en,id_nation_edition_base_resultats,edition_nation_en,id_sport,sport,sport_en,id_discipline_administrative,discipline_administrative,id_specialite,specialite,id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_federation,federation,federation_nom_court,dt_creation,dt_modification
6148112,40436315,infostrada,4747566.0,-1.0,ECKERT,Paul,94060,Germany,87,Germany,18.0,,,645835,Ski Cross - Men,Ski Cross - Men,Senior,33829,216,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,6,Ski acrobatique,Freestyle Skiing,110,Ski freestyle,259,Ski freestyle,637,Ski Cross - Hommes,Hommes,Individuel,1,1,0,0,0,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2025-03-16 02:08:20.147
6148369,40421801,infostrada,4832500.0,-1.0,ST-GELAIS,Marianne,91610,Canada,40,Canada,11.0,,,553941,1000m - Women,1000m - Women,Senior,33831,220,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,21,Patinage de vitesse - Short Track,Short Track,400,Patinage de vitesse sur glace courte piste,288,Short track,6956,1000m - Femmes,Femmes,Individuel,1,1,0,0,0,80,Fédération Française des Sports de Glace,SPORTS DE GLACE,2024-06-07 14:48:22.793,2025-03-17 02:04:21.060
6151916,403350461,infostrada,,,,,96810,Republic of Korea,123,Korea,14.0,3:25.31,205310.0,549219,2-Man Competition - Women,2-Man Competition - Women,Senior,33822,447,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,30,Bobsleigh,Bobsleigh,117,Bobsleigh,322,Bobsleigh,26546,2-Man Competition - Femmes,Femmes,Equipe,0,1,0,0,0,80,Fédération Française des Sports de Glace,SPORTS DE GLACE,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6172470,40384616,infostrada,4937450.0,-1.0,BARTOL,Tilen,94672,Slovenia,210,Slovenia,17.0,247.5,247500.0,542390,Individual - Large Hill - Men,Individual - Large Hill - Men,Senior,33824,207,Olympic Games,2,JO Hiver,2018,2018-02-08,2018-02-25,1088,Pyeongchang,162,Korea,50,Saut à ski,Ski Jumping,106,Saut à ski,256,Saut à ski,889674,Individuel - Grand Tremplin - Hommes,Hommes,Individuel,1,1,0,0,1,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6167738,40357511,infostrada,4897830.0,-1.0,KLIMINA,Darya,94063,Kazakhstan,119,Kazakhstan,51.0,46:44.4,2804400.0,570516,15km Individual - Women,15km Individual - Women,Senior,33827,88,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,41,Biathlon,Biathlon,109,Biathlon,246,Biathlon,6809,Individuel 15km - Femmes,Femmes,Individuel,1,1,0,0,0,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6168011,40292827,infostrada,4981623.0,44927.0,CABROL,Camille,92112,France,75,France,22.0,68.89,68890.0,549999,Moguls - Women,Moguls - Women,Senior,33829,216,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,6,Ski acrobatique,Freestyle Skiing,110,Ski freestyle,259,Ski freestyle,6948,Bosses - Femmes,Femmes,Individuel,1,1,0,0,1,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6181219,40433766,infostrada,4933083.0,-1.0,BUZZI,Raffaele,92543,Italy,113,Italy,34.0,27:26.5,1646500.0,570517,Gundersen Large Hill / 10km - Men,Gundersen Large Hill / 10km - Men,Senior,33825,329,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,62,Combiné nordique,Nordic Combined,105,Combine nordique,255,Combine nordique,889798,Gundersen Grand Tremplin / 10km - Hommes,Hommes,Individuel,1,1,0,0,1,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2025-03-17 02:04:21.060
6176673,40292932,infostrada,4913533.0,-1.0,KOLMAKOV,Pavel,92236,Kazakhstan,119,Kazakhstan,7.0,76.10,76100.0,666516,Moguls - Men,Moguls - Men,Senior,33829,216,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,6,Ski acrobatique,Freestyle Skiing,110,Ski freestyle,259,Ski freestyle,119,Bosses - Hommes,Hommes,Individuel,1,1,0,0,1,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6181841,40340640,infostrada,4814696.0,-1.0,ODA,Takuro,93591,Japan,118,Japan,5.0,1:45.44,105440.0,549225,1500m - Men,1500m - Men,Senior,33816,1,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,40,Patinage de vitesse - Longue Piste,Speed Skating,401,Patinage de vitesse sur glace grande piste,289,Longue piste,436,1500m - Hommes,Hommes,Individuel,1,1,0,0,0,54,Fédération française de roller et skateboard,ROLLER ET SKATEBOARD,2024-06-07 14:48:22.793,2025-03-16 02:08:20.147
6173514,40327906,infostrada,4702245.0,-1.0,MORRISON,Josie,97784,Canada,40,Canada,21.0,1:59.77,119770.0,550002,1500m - Women,1500m - Women,Senior,33816,1,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,40,Patinage de vitesse - Longue Piste,Speed Skating,401,Patinage de vitesse sur glace grande piste,289,Longue piste,27810,1500m - Femmes,Femmes,Individuel,1,1,0,0,0,54,Fédération française de roller et skateboard,ROLLER ET SKATEBOARD,2024-06-07 14:48:22.793,2025-03-16 02:08:20.147
