id_resultat,id_resultat_source,source,id_athlete_base_resultats,id_personne,athlete_nom,athlete_prenom,id_equipe,equipe_en,id_pays,pays_en_base_resultats,classement_epreuve,performance_finale_texte,performance_finale,id_evenement,evenement,evenement_en,categorie_age,id_edition,id_competition_sport,competition_en,id_type_competition,type_competition,edition_saison,date_debut_edition,date_fin_edition,id_ville_edition,edition_ville_en,id_nation_edition_base_resultats,edition_nation_en,id_sport,sport,sport_en,id_discipline_administrative,discipline_administrative,id_specialite,specialite,id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_federation,federation,federation_nom_court,dt_creation,dt_modification
10928917,709662662,infostrada,248434.0,-1.0,CUTRO-KELLY,Nina,14607,United States,233,United States,17.0,,,609330,+78kg - Women,+78kg - Women,Senior,35887,432,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,61,Judo,Judo,68,Judo,112,Judo,942,+78kg - Femmes,Femmes,Individuel,1,1,1,0,0,36,Fédération Française de Judo-Jujitsu Kendo et Disciplines Associées,JUDO,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10858381,52738475,infostrada,4909298.0,-1.0,LEDECKY,Katie,95184,United States,233,United States,1.0,15:37.34,937340.0,667670,1500m Freestyle - Women,1500m Freestyle - Women,Senior,33971,301,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,6603,1500m Nage libre - Femmes,Femmes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10858466,704846858,infostrada,207928.0,-1.0,OTGONBAATAR,Uuganbaatar,12416,Mongolia,145,Mongolia,17.0,,,401027,81kg - Men,81kg - Men,Senior,20761,432,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,61,Judo,Judo,68,Judo,112,Judo,484,81kg - Hommes,Hommes,Individuel,1,1,1,0,0,36,Fédération Française de Judo-Jujitsu Kendo et Disciplines Associées,JUDO,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10858507,40435991,infostrada,4876439.0,-1.0,GUT-BEHRAMI,Lara,94036,Switzerland,207,Switzerland,,,,560606,Downhill - Women,Downhill - Women,Senior,33818,423,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,34,Ski alpin,Alpine Skiing,107,Ski alpin,257,Ski alpin,6813,Descente - Femmes,Femmes,Individuel,1,1,0,0,0,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
10843026,34513487,infostrada,4913515.0,-1.0,ROCHE,Nicolas,99391,Ireland,288,Ireland,29.0,6:19:43,22783000.0,529266,Road race - Men,Road race - Men,Senior,26519,1203,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,37,Cyclisme - Route,Cycling - Road,23,Route,50,Course en ligne,1,Course sur route - Hommes,Hommes,Individuel,1,1,1,0,0,21,Fédération Française de Cyclisme,CYCLISME,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10929141,34542993,infostrada,4711883.0,-1.0,DOI,Manami,91632,Japan,118,Japan,20.0,139,139000.0,662392,ILCA 6 - Women,ILCA 6 - Women,Senior,30131,299,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,1,Voile,Sailing,144,Dériveur,232,Solitaire,6652,ILCA 6 - Femmes,Femmes,Individuel,1,1,1,0,0,71,Fédération Française de Voile,VOILE,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10929591,52806433,infostrada,4873332.0,-1.0,YU,Dong-Ju,91812,Republic of Korea,123,Korea,8.0,360,360000.0,591041,96kg - Men,96kg - Men,Senior,35778,438,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,29,Haltérophilie,Weightlifting,45,Haltérophilie,89,Total Olympique,26461,96kg - Hommes,Hommes,Individuel,1,0,1,0,1,3,Fédération Française d'Haltérophilie-musculation,HALTEROPHILIE,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10859178,40311193,infostrada,4740689.0,-1.0,MAPLE,Wiley,91818,United States,233,United States,30.0,1:43.72,103720.0,560605,Downhill - Men,Downhill - Men,Senior,33818,423,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,34,Ski alpin,Alpine Skiing,107,Ski alpin,257,Ski alpin,25,Descente - Hommes,Hommes,Individuel,1,1,0,0,0,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
10859344,40379225,infostrada,5050564.0,-1.0,BØE,Magnus,92675,Republic of Korea,123,Korea,42.0,36:39.0,2199000.0,553934,15km Freestyle - Men,15km Freestyle - Men,Senior,33828,90,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,67,Ski de fond,Cross Country Skiing,108,Ski de fond,258,Ski de fond,110,15km Style libre - Hommes,Hommes,Individuel,1,1,0,0,0,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
10929985,709662153,infostrada,15835196.0,-1.0,MOHAMED BELKEBIR,Kaouther,10690,Algeria,5,Algeria,35.0,,,610827,Individual Sabre - Women,Individual Sabre - Women,Senior,35893,81,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,33,Escrime,Fencing,35,Sabre,68,Sabre,6547,Individuel Sabre - Femmes,Femmes,Individuel,1,1,1,0,0,82,Fédération Française d'Escrime,ESCRIME,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10859449,52678672,infostrada,4800758.0,-1.0,CREW,Brittany,91425,Canada,40,Canada,,,,647090,Shot Put - Women,Shot Put - Women,Senior,35870,413,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,28,Athlétisme,Athletics,251,Athlétisme disciplines olympiques,13,Lancers,6843,Poids - Femmes,Femmes,Individuel,1,1,1,0,1,9,Fédération Française d'Athlétisme,ATHLETISME,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
10930531,709662143,infostrada,403461.0,-1.0,KONG,Man Wai,10213,"Hong Kong, China",99,"Hong Kong, China",5.0,,,610826,Individual Epee - Women,Individual Epee - Women,Senior,35893,81,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,33,Escrime,Fencing,33,Epée,66,Epée,6481,Individuel Épée - Femmes,Femmes,Individuel,1,1,1,0,0,82,Fédération Française d'Escrime,ESCRIME,2024-06-07 14:48:22.793,2025-03-16 02:08:20.147
10859856,709662432,infostrada,18063580.0,-1.0,ANANI,Kwadyo,9438,Ghana,88,Ghana,17.0,,,414253,90kg - Men,90kg - Men,Senior,35887,432,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,61,Judo,Judo,68,Judo,112,Judo,346,90kg - Hommes,Hommes,Individuel,1,1,1,0,0,36,Fédération Française de Judo-Jujitsu Kendo et Disciplines Associées,JUDO,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10860067,52814970,infostrada,4913515.0,-1.0,ROCHE,Nicolas,99391,Ireland,288,Ireland,75.0,6:21:46,22906000.0,559968,Road race - Men,Road race - Men,Senior,35085,1203,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,37,Cyclisme - Route,Cycling - Road,23,Route,50,Course en ligne,1,Course sur route - Hommes,Hommes,Individuel,1,1,1,0,0,21,Fédération Française de Cyclisme,CYCLISME,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
