id_resultat,id_resultat_source,source,id_athlete_base_resultats,id_personne,athlete_nom,athlete_prenom,id_equipe,equipe_en,id_pays,pays_en_base_resultats,classement_epreuve,performance_finale_texte,performance_finale,id_evenement,evenement,evenement_en,categorie_age,id_edition,id_competition_sport,competition_en,id_type_competition,type_competition,edition_saison,date_debut_edition,date_fin_edition,id_ville_edition,edition_ville_en,id_nation_edition_base_resultats,edition_nation_en,id_sport,sport,sport_en,id_discipline_administrative,discipline_administrative,id_specialite,specialite,id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_federation,federation,federation_nom_court,dt_creation,dt_modification
13625481,64427977,infostrada,4921396.0,-1.0,ZIRK,Kregor,94502,Estonia,70,Estonia,22.0,3:49.59,229590.0,581894,400m Freestyle - Men,400m Freestyle - Men,Senior,58829,301,Olympic Games,1,JO été,2024,2024-07-26,2024-08-11,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-28 03:00:49.560,2024-10-03 03:00:58.303
13625482,64427980,infostrada,12762927.0,-1.0,VARGAS,Joaquin,95748,Peru,175,Peru,29.0,3:54.59,234590.0,581894,400m Freestyle - Men,400m Freestyle - Men,Senior,58829,301,Olympic Games,1,JO été,2024,2024-07-26,2024-08-11,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-28 03:00:49.560,2024-10-03 03:00:58.303
13625483,64427983,infostrada,18041369.0,-1.0,ALOVATKI,Pavel,91747,Moldova,142,Moldova,31.0,3:59.77,239770.0,581894,400m Freestyle - Men,400m Freestyle - Men,Senior,58829,301,Olympic Games,1,JO été,2024,2024-07-26,2024-08-11,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-28 03:00:49.560,2024-10-03 03:00:58.303
13625484,64427986,infostrada,18053546.0,-1.0,CISTERNAS,Eduardo,91749,Chile,45,Chile,25.0,3:51.29,231290.0,581894,400m Freestyle - Men,400m Freestyle - Men,Senior,58829,301,Olympic Games,1,JO été,2024,2024-07-26,2024-08-11,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-28 03:00:49.560,2024-10-03 03:00:58.303
13625485,64427989,infostrada,18053817.0,-1.0,KHIEW,Hoe Yean,95805,Malaysia,138,Malaysia,27.0,3:51.66,231660.0,581894,400m Freestyle - Men,400m Freestyle - Men,Senior,58829,301,Olympic Games,1,JO été,2024,2024-07-26,2024-08-11,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-28 03:00:49.560,2024-10-03 03:00:58.303
13625486,64427992,infostrada,16991537.0,-1.0,SIBIRTSEV,Ilya,93366,Uzbekistan,234,Uzbekistan,26.0,3:51.52,231520.0,581894,400m Freestyle - Men,400m Freestyle - Men,Senior,58829,301,Olympic Games,1,JO été,2024,2024-07-26,2024-08-11,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-28 03:00:49.560,2024-10-03 03:00:58.303
13625487,64427995,infostrada,18038285.0,-1.0,LEKIC,Jovan,93155,Bosnia & Herzegovina,26,Bosnia & Herzegovina,30.0,3:57.90,237900.0,581894,400m Freestyle - Men,400m Freestyle - Men,Senior,58829,301,Olympic Games,1,JO été,2024,2024-07-26,2024-08-11,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-28 03:00:49.560,2024-10-03 03:00:58.303
13625488,64427998,infostrada,18069535.0,-1.0,BIANCHI,Loris,92810,San Marino,200,San Marino,32.0,4:01.13,241130.0,581894,400m Freestyle - Men,400m Freestyle - Men,Senior,58829,301,Olympic Games,1,JO été,2024,2024-07-26,2024-08-11,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-28 03:00:49.560,2024-10-03 03:00:58.303
13625489,64428001,infostrada,18047174.0,-1.0,FEI,Liwei,91428,China,46,China,6.0,3:44.24,224240.0,581894,400m Freestyle - Men,400m Freestyle - Men,Senior,58829,301,Olympic Games,1,JO été,2024,2024-07-26,2024-08-11,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-28 03:00:49.560,2024-10-03 03:00:58.303
13625490,64428004,infostrada,4794513.0,50861.0,AUBRY,David,89925,France,75,France,15.0,3:47.53,227530.0,581894,400m Freestyle - Men,400m Freestyle - Men,Senior,58829,301,Olympic Games,1,JO été,2024,2024-07-26,2024-08-11,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,474,400m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-28 03:00:49.560,2025-03-31 03:07:57.530
